ISO,GDP,TGDP18,TGDP23,GDPPC,HDI,INV,DEBT,POP17,POP23,TPOP23,URB,TURB25,BCIT25,LCIT25,START,INFRA,INSTI,COMMO,CORRU
SVK,106.94,3.444101758,3.707743255,19642.098,0.855,23.479,43.3346,5439892,5439382.727,-0.001560363,53.751,0,0,1,127,77.58222423,56.42601197,11.21924641,50
SVN,54.969,3.565418591,2.641096802,26586.048,0.896,20.295,64.1796,2066748,2066642.674,-0.000849387,54.273,0.56701013,0,0,38,76.91035758,63.07875251,15.25099924,60
ZAF,376.679,1.152312862,1.719220073,6560.041,0.699,18.117,59.8768,56717156,60610627,1.112703349,65.85,3.762005008,7,3,134,68.60919331,53.7632187,57.89335977,43
ESP,1437.047,2.762965159,1.81320635,31059.508,0.891,21.767,93.9612,46572028,46604744.94,0.01170494,80.08,0.328701405,0,4,86,89.11748727,64.48347493,28.13934001,58
LKA,92.504,4.295529632,4.739722202,4265.287,0.77,36.783,71.3962,21444000,21836186.3,0.302517158,18.384,0.852824592,0,1,83,68.5971028,51.52028744,33.2662787,38
SWE,554.659,2.850966097,2.025420728,53867.171,0.933,26.413,30.5264,10067744,10478271.67,0.668341808,87.146,1.052058407,1,1,18,84.3560205,76.02244127,22.73807855,85
CHE,709.118,2.0007728,1.696322487,83583.002,0.944,24.037,36.1226,8466017,8835647.918,0.714780588,73.761,0.8842713,1,2,77,93.31481937,77.11239827,29.53260399,85
TWN,602.678,2.365538076,2.07824995,25534.325,0.907,20.584,31.2556,23626456,23968059,0.239535894,77.75182194,0,4,8,20,82.55116074,68.48039204,7.856402243,63
TZA,55.645,6.533206687,6.47995489,1090.099,0.538,30.471,37.4588,57310019,68591196,3.040107677,33.053,10.64196704,0,0,163,45.9797195,50.02374625,86.48531553,36
THA,490.12,3.150023274,3.629128871,7084.471,0.755,23.401,41.3018,69037513,69620740,0.14030647,49.2,1.741263223,1,0,39,69.65808002,55.07236022,26.56580848,36
TUN,41.662,1.914178958,3.619082781,3573.365,0.735,23.071,68.5072,11532127,12234744,0.990590528,68.642,2.907300242,0,1,63,62.47384212,51.96950726,18.78210455,43
TUR,713.513,5.058828092,1.9636378,8715.513,0.791,30.652,36.3036,80745020,85404040,0.939336297,74.644,2.060593989,8,9,78,72.63332607,52.89810928,22.2838476,41
ARE,432.612,3.220853508,3.264471944,41476.301,0.863,22.499,17.3428,9400145,10186481,1.347942833,86.248,1.722135845,1,3,25,86.21758829,71.75920401,66.33534138,70
GBR,2808.899,2.018704392,1.567669369,42260.924,0.922,17.207,85.7366,66022273,68240784.72,0.552357362,83.143,0.894378958,5,6,19,89.03609685,76.80718829,24.24113382,80
USA,20513,2.399085629,1.787368134,62517.53,0.924,21.082,112.425,325719178,339838033.5,0.709732398,82.058,0.952782629,48,40,53,89.46658026,74.55511948,28.09448816,71
VNM,241.434,6.456744258,6.499999999,2552.829,0.694,27.48,57.5128,95540800,101084329,0.944460942,35.213,3.029958107,3,5,104,65.44146969,49.53328904,20.88175111,33
ZMB,25.778,3.715904315,4.500338751,1450.409,0.588,44.398,86.1008,17094130,20386125,2.978828453,42.976,8.738147283,1,2,102,50.99449454,48.83108185,87.94270864,35
