code,goveff,corrup,tgdp,infl,hdi,unempl,start_business,gdppc
SRB,0.090867937,-0.192146584,0.741,1.392,0.771,18.51,65,5119.757
SLE,-1.222039461,-0.94774574,-21.083,8.969,0.413,3.299999952,99,696.097
SGP,2.193888903,2.117195845,2.008,-0.523,0.912,1.9,10,52887.77
SVK,0.871013641,0.116905279,3.595,-0.335,0.844,11.492,68,15979.4
SVN,1.008554101,0.687195241,2.317,-0.506,0.88,9,18,20746.898
ZAF,0.328388512,-0.113314249,1.265,4.588,0.666,25.366,120,5726.875
ESP,1.154105306,0.526028931,3.213,-0.499,0.876,22.075,82,25843.091
LKA,0.088806763,-0.337785959,4.786,0.932,0.757,4,98,3849.216
SDN,-1.606815577,-1.446915507,4.879,16.91,0.479,21.6,146,2119.003
SUR,-0.156905994,-0.616204262,-0.3,6.863,0.714,8.867,183,9230.702
SWE,1.788798094,2.142039061,4.188,0.701,0.907,7.4,16,50049.824
CHE,2.128141403,2.189051151,0.816,-1.14,0.93,3.178,69,80602.693
TWN,1.374458909,0.844440818,0.648,-0.305,,3.78,22,22263.08
TZA,-0.64241451,-0.796055317,6.959,5.588,0.521,3.099999905,129,957.105
THA,0.339194238,-0.405191958,2.82,-0.9,0.726,0.877,96,5742.421
TGO,-1.258784652,-0.923641503,5.4,1.8,0.484,6.900000095,133,570.301
TTO,0.287058145,-0.578430951,-2.145,4.65,0.772,3.6,72,18143.063
TUN,-0.128385961,-0.093029149,0.8,4.851,0.721,15,103,3922.653
TUR,0.380740196,-0.121682309,3.985,7.671,0.761,10.28,94,9186.353
TKM,-0.8635934,-1.219040036,6.5,6.4,0.688,10.5,,6654.744
UGA,-0.398749471,-1.097252965,4.814,5.523,0.483,3.799999952,168,609.475
UKR,-0.379533857,-0.995144904,-9.87,48.684,0.747,9.143,30,2125.426
ARE,1.477284908,1.233053327,3.967,4.068,0.835,3.599999905,60,38649.912
GBR,1.616175532,1.727374434,2.245,0.05,0.907,5.4,17,43902.351
USA,1.457500935,1.3228333,2.596,0.118,0.915,5.283,49,56083.965
URY,0.480369806,1.352230191,0.982,8.666,0.793,7.508,61,15547.121
UZB,-0.631766915,-1.117749572,8,8.464,0.675,10.60000038,42,2114.974
VEN,-1.228953838,-1.382465124,-6.221,121.738,0.762,7.4,186,8493.972
VNM,-0.062304392,-0.498854697,6.679,0.631,0.666,2.4,119,2088.344
YEM,-1.405440688,-1.551378012,-28.097,39.403,0.498,17.39999962,152,1334.124
ZMB,-0.468505681,-0.414568007,3,10.107,0.586,13.30000019,78,1351.626
ZWE,-1.175939083,-1.388679981,1.062,-2.41,0.509,5.400000095,182,1002.456
